quarter,real_gdp,unemployment_rate,cpi_inflation,cash_rate
1990Q3,12.27812816,7.4,6.1,14
1990Q4,12.28408406,8,6.9,12.58
1991Q1,12.27102671,9.2,4.8,12
1991Q2,12.26928216,9.5,3.3,10.5
1991Q3,12.27379204,10,3.1,9.55
1991Q4,12.27432925,10.5,1.5,8.5
1992Q1,12.28222317,10.5,1.7,7.5
1992Q2,12.28925964,10.8,1.2,6.5
1992Q3,12.29914851,10.6,0.8,5.75
1992Q4,12.31978519,11.2,0.3,5.75
1993Q1,12.32667393,10.9,1.2,5.6
1993Q2,12.33247179,11,1.8,5.25
1993Q3,12.3337488,10.7,2.2,4.75
1993Q4,12.35197224,10.8,1.8,4.75
1994Q1,12.36819575,10.4,1.5,4.75
1994Q2,12.38001335,9.8,1.8,4.75
1994Q3,12.38776484,9.4,2,5.5
1994Q4,12.39826615,8.9,2.6,7.05
1995Q1,12.39839404,8.6,3.7,7.5
1995Q2,12.40258471,8.4,4.5,7.5
1995Q3,12.42494308,8.4,5.1,7.5
1995Q4,12.42475426,8.1,5.1,7.5
1996Q1,12.44109734,8.4,3.8,7.5
1996Q2,12.44744504,8.3,3.1,7.5
1996Q3,12.45540622,8.6,2.1,7
1996Q4,12.46467986,8.6,1.5,6.18
1997Q1,12.47095681,8.6,1.4,6
1997Q2,12.5003678,8.3,0.3,5.5
1997Q3,12.50164476,8.1,-0.4,5
1997Q4,12.51608723,7.9,-0.3,5
1998Q1,12.5225681,7.9,-0.1,5
1998Q2,12.53183777,7.8,0.7,5
1998Q3,12.55069373,7.6,1.4,5
1998Q4,12.56573113,7.2,1.5,4.76
1999Q1,12.57300827,7,1.2,4.75
1999Q2,12.57624903,6.7,1,4.75
1999Q3,12.58776405,7,1.8,4.75
1999Q4,12.6045937,6.7,1.9,5
2000Q1,12.60860345,6.6,2.8,5.5
2000Q2,12.61775505,6.1,3.1,6
2000Q3,12.62052723,6,6.1,6.25
2000Q4,12.61681049,6.2,5.8,6.25
2001Q1,12.62711578,6.5,6,5.55
2001Q2,12.635238,6.9,6.1,5
2001Q3,12.64690811,6.8,2.5,4.78
2001Q4,12.65900641,6.9,3.1,4.28
2002Q1,12.66650878,6.4,3,4.25
2002Q2,12.68364444,6.5,2.8,4.72
2002Q3,12.68663595,6.3,3.2,4.75
2002Q4,12.69475695,6.2,2.9,4.75
2003Q1,12.69664148,6.1,3.3,4.75
2003Q2,12.70089083,6.1,2.6,4.75
2003Q3,12.71815648,5.8,2.6,4.75
2003Q4,12.73459279,5.7,2.4,5.23
2004Q1,12.74222093,5.4,2,5.25
2004Q2,12.74895492,5.5,2.5,5.25
2004Q3,12.75658426,5.4,2.3,5.25
2004Q4,12.76402133,5.1,2.5,5.25
2005Q1,12.77158814,5.2,2.4,5.49
2005Q2,12.77608562,4.9,2.5,5.5
2005Q3,12.78728777,5,3.1,5.5
2005Q4,12.79495316,5.1,2.8,5.5
